Variants	Fitness
VDGV	1.0
FDGV	0.377100728
GDGV	0.008297906
VDCV	0.06071262
VDFV	0.067022094
VDGH	0.161839956
VDGP	0.007556195
VDGS	0.495759852
VDGY	0.028526258
VDLV	0.009770061
VDYV	0.013714474
VEGV	0.860930664
VLGV	0.907305261
VQGV	1.113893638
VTGV	1.165465363
WDGV	0.010396949
YDGV	0.072022513
FDCV	0.099666667
FDFV	0.42456046
FDGH	0.015661905
FDGP	0.036955056
FDGS	1.520233412
FDGY	0.033837449
FDLV	0.13873354
FDYV	0.0
FEGV	0.298446298
FLGV	0.486987354
FQGV	0.737284171
FTGV	0.792733338
GDCV	0.012235863
GDFV	0.019149927
GDGH	0.000465337
GDGP	0.000728945
GDGS	0.00088414
GDGY	0.005493875
GDLV	0.0
GDYV	0.002514526
GEGV	0.001830273
GLGV	0.007627551
GQGV	0.011968705
GTGV	0.010161406
VDCH	0.0
VDCP	0.017494681
VDCS	0.241626098
VDCY	0.007027778
VDFH	0.002947133
VDFP	0.053854971
VDFS	0.06825
VDFY	0.0
VDLH	0.013208835
VDLP	0.166531646
VDLS	0.01875307
VDLY	0.005171384
VDYH	0.0
VDYP	0.088210728
VDYS	0.028256014
VDYY	0.0
VECV	0.033222222
VEFV	0.095854281
VEGH	0.021752646
VEGP	0.004142317
VEGS	0.175725202
VEGY	0.011232924
VELV	0.006739754
VEYV	0.028353448
VLCV	0.048258987
VLFV	0.053509202
VLGH	0.019758095
VLGP	0.005969497
VLGS	0.234408136
VLGY	0.007040372
VLLV	0.013595149
VLYV	0.007282994
VQCV	0.071136133
VQFV	0.07808188
VQGH	0.052075834
VQGP	0.01099081
VQGS	0.450154
VQGY	0.059215535
VQLV	0.019081751
VQYV	0.004766667
VTCV	0.057403884
VTFV	0.081150944
VTGH	0.055039047
VTGP	0.007386269
VTGS	0.37193458
VTGY	0.069130811
VTLV	0.010333483
VTYV	0.015563092
WDCV	0.836044628
WDFV	2.552753314
WDGH	0.06870307
WDGP	0.004759965
WDGS	0.819092111
WDGY	0.220150145
WDLV	2.086983134
WDYV	0.075144514
WEGV	0.015759429
WLGV	0.022066752
WQGV	0.044608567
WTGV	0.045008553
YDCV	0.225333335
YDFV	1.023653094
YDGH	0.017682796
YDGP	0.012886377
YDGS	0.835986366
YDGY	0.06276278
YDLV	0.31343535
YDYV	0.009492064
YEGV	0.135825835
YLGV	0.163707176
YQGV	0.28494529
YTGV	0.22956864
FDCH	0.004030637
FDCP	0.010058104
FDCS	0.087913522
FDCY	0.013051587
FDFH	0.004216667
FDFP	0.016336093
FDFS	0.040012166
FDFY	0.004282552
FDLH	0.001745754
FDLP	0.005513171
FDLS	0.060313603
FDLY	0.008701058
FDYH	0.0
FDYP	0.00602381
FDYS	0.003469409
FDYY	0.0
FECV	0.060907408
FEFV	0.572000003
FEGH	0.0
FEGP	0.03022978
FEGS	1.110136097
FEGY	0.021496732
FELV	0.098917294
FEYV	0.007830952
FLCV	0.137403255
FLFV	0.630483644
FLGH	0.012478591
FLGP	0.049493379
FLGS	1.440974496
FLGY	0.019081751
FLLV	0.201761821
FLYV	0.020963881
FQCV	0.225715687
FQFV	1.079552727
FQGH	0.0
FQGP	0.098670001
FQGS	1.853041677
FQGY	0.051853604
FQLV	0.294602943
FQYV	0.045680556
FTCV	0.11420139
FTFV	0.668763337
FTGH	0.018071429
FTGP	0.062721265
FTGS	2.135197592
FTGY	0.032133908
FTLV	0.093026007
FTYV	0.039422945
GDCH	0.0
GDCP	0.003630243
GDCS	0.0
GDCY	0.0
GDFH	0.008368957
GDFP	0.001544131
GDFS	0.003408997
GDFY	0.0
GDLH	0.0
GDLP	0.000752287
GDLS	0.001280763
GDLY	0.00144635
GDYH	0.0
GDYP	0.004001217
GDYS	0.006052313
GDYY	0.0
GECV	0.0
GEFV	0.001298973
GEGH	0.0
GEGP	0.00062221
GEGS	0.000587531
GEGY	0.001691872
GELV	0.00196124
GEYV	0.001839485
GLCV	0.003011905
GLFV	0.009047411
GLGH	0.002971988
GLGP	0.001686667
GLGS	0.002010769
GLGY	0.001132576
GLLV	0.002471446
GLYV	0.002835345
GQCV	0.0
GQFV	0.009238764
GQGH	0.0
GQGP	0.002068553
GQGS	0.006007306
GQGY	0.009930556
GQLV	0.002700328
GQYV	0.0
GTCV	0.0
GTFV	0.008324961
GTGH	0.000682648
GTGP	0.00281015
GTGS	0.003306192
GTGY	0.006695165
GTLV	0.002995446
GTYV	0.002885088
VECH	0.00644902
VECP	0.004725575
VECS	0.078902778
VECY	0.004030637
VEFH	0.007921484
VEFP	0.042714286
VEFS	0.056344658
VEFY	0.0
VELH	0.014683036
VELP	0.03036
VELS	0.009867
VELY	0.0
VEYH	0.0
VEYP	0.04439378
VEYS	0.008002433
VEYY	0.0
VLCH	0.005485887
VLCP	0.010744153
VLCS	0.105624439
VLCY	0.006286315
VLFH	0.004795196
VLFP	0.040467928
VLFS	0.02512209
VLFY	0.002081646
VLLH	0.314412373
VLLP	0.08700085
VLLS	0.013498751
VLLY	0.004067189
VLYH	0.003563083
VLYP	0.048412494
VLYS	0.00676749
VLYY	0.002172391
VQCH	0.0
VQCP	0.011595833
VQCS	0.200917021
VQCY	0.0
VQFH	0.0089375
VQFP	0.068678353
VQFS	0.100594415
VQFY	0.004725575
VQLH	0.030654057
VQLP	0.109175256
VQLS	0.013704167
VQLY	0.0
VQYH	0.0
VQYP	0.086395834
VQYS	0.022840278
VQYY	0.0
VTCH	0.004336762
VTCP	0.009170074
VTCS	0.141072305
VTCY	0.002561526
VTFH	0.003703829
VTFP	0.047013583
VTFS	0.065644651
VTFY	0.003143158
VTLH	0.339749134
VTLP	0.036427208
VTLS	0.012110084
VTLY	0.003957882
VTYH	0.000945115
VTYP	0.052725093
VTYS	0.013007345
VTYY	0.001420121
WDCH	0.008986339
WDCP	0.012277341
WDCS	0.351647941
WDCY	0.013034346
WDFH	0.009357041
WDFP	0.090444445
WDFS	0.180769467
WDFY	0.012130936
WDLH	0.007628838
WDLP	0.232166147
WDLS	0.453824354
WDLY	0.004725575
WDYH	0.001986111
WDYP	0.004175785
WDYS	0.008217364
WDYY	0.004854938
WECV	0.360296023
WEFV	2.09762032
WEGH	0.015239488
WEGP	0.006441441
WEGS	0.404356936
WEGY	0.055707995
WELV	1.17292055
WEYV	0.033372841
WLCV	0.597074556
WLFV	2.842463322
WLGH	0.030678522
WLGP	0.006304868
WLGS	0.537206989
WLGY	0.045246094
WLLV	1.63624738
WLYV	0.029950337
WQCV	0.885170578
WQFV	3.230076565
WQGH	0.021380108
WQGP	0.013024226
WQGS	0.880972359
WQGY	0.149413485
WQLV	2.047315697
WQYV	0.036022381
WTCV	0.400173508
WTFV	2.937378804
WTGH	0.036870097
WTGP	0.008892706
WTGS	0.751387809
WTGY	0.167039365
WTLV	1.331966746
