ranked_id	hap	fit	model	N_max	r/s
H000	1001100011	1.0	nk	4	1.1710441037633872
H001	0001100011	0.9844472003322131	nk	4	1.1710441037633872
H002	1001100111	0.9618830286879517	nk	4	1.1710441037633872
H003	0001100111	0.946330229020165	nk	4	1.1710441037633872
H004	1001111011	0.9292349291259611	nk	4	1.1710441037633872
H005	0001111011	0.9136821294581742	nk	4	1.1710441037633872
H006	1101100011	0.8992125144545016	nk	4	1.1710441037633872
H007	1001101011	0.8987230899143819	nk	4	1.1710441037633872
H008	1001111111	0.8911179578139131	nk	4	1.1710441037633872
H009	1001100010	0.8874674351420327	nk	4	1.1710441037633872
H010	0101100011	0.8836597147867145	nk	4	1.1710441037633872
H011	0001101011	0.883170290246595	nk	4	1.1710441037633872
H012	1001110011	0.8825178357672802	nk	4	1.1710441037633872
H013	0001111111	0.8755651581461261	nk	4	1.1710441037633872
H014	0001100010	0.8719146354742457	nk	4	1.1710441037633872
H015	0001110011	0.866965036099493	nk	4	1.1710441037633872
H016	1101100111	0.8610955431424534	nk	4	1.1710441037633872
H017	1001101111	0.8606061186023339	nk	4	1.1710441037633872
H018	1001100110	0.8493504638299847	nk	4	1.1710441037633872
H019	1101000011	0.8472801884498115	nk	4	1.1710441037633872
H020	0101100111	0.8455427434746665	nk	4	1.1710441037633872
H021	0001101111	0.845053318934547	nk	4	1.1710441037633872
H022	1001110111	0.844400864455232	nk	4	1.1710441037633872
H023	0001100110	0.8337976641621978	nk	4	1.1710441037633872
H024	0001110111	0.8288480647874453	nk	4	1.1710441037633872
H025	1101111011	0.8284474435804627	nk	4	1.1710441037633872
H026	0101000011	0.8190494570374185	nk	4	1.1710441037633872
H027	1001111010	0.8167023642679939	nk	4	1.1710441037633872
H028	0101111011	0.8128946439126759	nk	4	1.1710441037633872
H029	1001000011	0.8104284733393573	nk	4	1.1710441037633872
H030	1101000111	0.8091632171377633	nk	4	1.1710441037633872
H031	0001111010	0.8011495646002071	nk	4	1.1710441037633872
H032	1101101011	0.7979356043688836	nk	4	1.1710441037633872
H033	1110011000	0.7937988266700488	nk	4	1.1710441037633872
