tag	id	haplotype	fitness	fit_norm	local_peak	global_peak	N	K
nk-7	H0000	0000000000	0.407828	0.339537	0	0	10	7
nk-7	H0001	0000000001	0.500275	0.511864	0	0	10	7
nk-7	H0002	0000000010	0.372810	0.274262	0	0	10	7
nk-7	H0003	0000000011	0.519756	0.548177	0	0	10	7
nk-7	H0004	0000000100	0.539377	0.584751	0	0	10	7
nk-7	H0005	0000000101	0.520146	0.548905	0	0	10	7
nk-7	H0006	0000000110	0.469533	0.454560	0	0	10	7
nk-7	H0007	0000000111	0.453232	0.424173	0	0	10	7
nk-7	H0008	0000001000	0.373817	0.276139	0	0	10	7
nk-7	H0009	0000001001	0.553575	0.611219	0	0	10	7
nk-7	H0010	0000001010	0.460418	0.437569	0	0	10	7
nk-7	H0011	0000001011	0.660496	0.810524	1	0	10	7
nk-7	H0012	0000001100	0.485071	0.483523	0	0	10	7
nk-7	H0013	0000001101	0.452719	0.423217	0	0	10	7
nk-7	H0014	0000001110	0.345235	0.222861	0	0	10	7
nk-7	H0015	0000001111	0.495907	0.503722	0	0	10	7
nk-7	H0016	0000010000	0.515575	0.540383	0	0	10	7
nk-7	H0017	0000010001	0.507869	0.526019	0	0	10	7
nk-7	H0018	0000010010	0.378373	0.284632	0	0	10	7
nk-7	H0019	0000010011	0.575771	0.652593	0	0	10	7
nk-7	H0020	0000010100	0.425348	0.372196	0	0	10	7
nk-7	H0021	0000010101	0.584401	0.668679	0	0	10	7
nk-7	H0022	0000010110	0.357073	0.244928	0	0	10	7
nk-7	H0023	0000010111	0.419482	0.361260	0	0	10	7
nk-7	H0024	0000011000	0.543179	0.591839	0	0	10	7
nk-7	H0025	0000011001	0.504934	0.520549	0	0	10	7
nk-7	H0026	0000011010	0.470069	0.455558	0	0	10	7
nk-7	H0027	0000011011	0.656228	0.802569	0	0	10	7
nk-7	H0028	0000011100	0.514443	0.538273	0	0	10	7
nk-7	H0029	0000011101	0.470349	0.456080	0	0	10	7
nk-7	H0030	0000011110	0.492480	0.497333	0	0	10	7
nk-7	H0031	0000011111	0.560672	0.624447	0	0	10	7
nk-7	H0032	0000100000	0.556452	0.616581	1	0	10	7
nk-7	H0033	0000100001	0.478152	0.470626	0	0	10	7
nk-7	H0034	0000100010	0.489574	0.491917	0	0	10	7
nk-7	H0035	0000100011	0.452460	0.422733	0	0	10	7
nk-7	H0036	0000100100	0.531263	0.569627	0	0	10	7
nk-7	H0037	0000100101	0.628121	0.750176	0	0	10	7
nk-7	H0038	0000100110	0.634233	0.761568	1	0	10	7
nk-7	H0039	0000100111	0.583866	0.667683	0	0	10	7
nk-7	H0040	0000101000	0.468795	0.453183	0	0	10	7
nk-7	H0041	0000101001	0.451102	0.420203	0	0	10	7
nk-7	H0042	0000101010	0.494376	0.500868	0	0	10	7
nk-7	H0043	0000101011	0.458852	0.434649	0	0	10	7
nk-7	H0044	0000101100	0.353173	0.237657	0	0	10	7
nk-7	H0045	0000101101	0.585236	0.670237	0	0	10	7
nk-7	H0046	0000101110	0.526650	0.561028	0	0	10	7
nk-7	H0047	0000101111	0.621548	0.737924	0	0	10	7
nk-7	H0048	0000110000	0.500722	0.512698	0	0	10	7
nk-7	H0049	0000110001	0.469664	0.454804	0	0	10	7
nk-7	H0050	0000110010	0.568107	0.638306	0	0	10	7
nk-7	H0051	0000110011	0.591938	0.682728	0	0	10	7
nk-7	H0052	0000110100	0.472029	0.459211	0	0	10	7
nk-7	H0053	0000110101	0.622370	0.739456	0	0	10	7
nk-7	H0054	0000110110	0.539986	0.585888	0	0	10	7
nk-7	H0055	0000110111	0.428305	0.377708	0	0	10	7
nk-7	H0056	0000111000	0.554512	0.612964	0	0	10	7
nk-7	H0057	0000111001	0.388011	0.302597	0	0	10	7
nk-7	H0058	0000111010	0.537225	0.580741	0	0	10	7
nk-7	H0059	0000111011	0.599283	0.696421	0	0	10	7
nk-7	H0060	0000111100	0.443798	0.406588	0	0	10	7
nk-7	H0061	0000111101	0.472823	0.460693	0	0	10	7
nk-7	H0062	0000111110	0.526637	0.561005	0	0	10	7
nk-7	H0063	0000111111	0.629167	0.752125	1	0	10	7
nk-7	H0064	0001000000	0.487216	0.487520	0	0	10	7
nk-7	H0065	0001000001	0.496653	0.505111	0	0	10	7
nk-7	H0066	0001000010	0.540166	0.586223	1	0	10	7
nk-7	H0067	0001000011	0.494434	0.500976	0	0	10	7
nk-7	H0068	0001000100	0.618880	0.732950	0	0	10	7
nk-7	H0069	0001000101	0.522150	0.552639	0	0	10	7
nk-7	H0070	0001000110	0.506015	0.522563	0	0	10	7
nk-7	H0071	0001000111	0.512520	0.534690	0	0	10	7
nk-7	H0072	0001001000	0.418415	0.359272	0	0	10	7
nk-7	H0073	0001001001	0.476406	0.467370	0	0	10	7
nk-7	H0074	0001001010	0.535505	0.577534	0	0	10	7
nk-7	H0075	0001001011	0.537024	0.580366	0	0	10	7
nk-7	H0076	0001001100	0.556293	0.616285	0	0	10	7
nk-7	H0077	0001001101	0.351106	0.233804	0	0	10	7
nk-7	H0078	0001001110	0.337701	0.208817	0	0	10	7
nk-7	H0079	0001001111	0.373282	0.275141	0	0	10	7
nk-7	H0080	0001010000	0.596856	0.691897	1	0	10	7
nk-7	H0081	0001010001	0.586092	0.671832	0	0	10	7
nk-7	H0082	0001010010	0.418758	0.359911	0	0	10	7
nk-7	H0083	0001010011	0.593277	0.685224	0	0	10	7
nk-7	H0084	0001010100	0.498561	0.508669	0	0	10	7
nk-7	H0085	0001010101	0.527203	0.562060	0	0	10	7
nk-7	H0086	0001010110	0.329088	0.192762	0	0	10	7
nk-7	H0087	0001010111	0.607511	0.711758	0	0	10	7
nk-7	H0088	0001011000	0.492432	0.497244	0	0	10	7
nk-7	H0089	0001011001	0.580889	0.662133	0	0	10	7
nk-7	H0090	0001011010	0.516899	0.542853	0	0	10	7
nk-7	H0091	0001011011	0.569158	0.640266	0	0	10	7
nk-7	H0092	0001011100	0.529564	0.566459	0	0	10	7
nk-7	H0093	0001011101	0.513234	0.536020	0	0	10	7
nk-7	H0094	0001011110	0.443026	0.405148	0	0	10	7
nk-7	H0095	0001011111	0.558855	0.621060	0	0	10	7
nk-7	H0096	0001100000	0.459312	0.435507	0	0	10	7
nk-7	H0097	0001100001	0.503694	0.518237	0	0	10	7
nk-7	H0098	0001100010	0.480403	0.474821	0	0	10	7
nk-7	H0099	0001100011	0.456302	0.429895	0	0	10	7
nk-7	H0100	0001100100	0.529331	0.566026	0	0	10	7
nk-7	H0101	0001100101	0.596110	0.690506	0	0	10	7
nk-7	H0102	0001100110	0.589279	0.677772	0	0	10	7
nk-7	H0103	0001100111	0.609140	0.714795	0	0	10	7
nk-7	H0104	0001101000	0.510527	0.530974	0	0	10	7
nk-7	H0105	0001101001	0.501157	0.513508	0	0	10	7
nk-7	H0106	0001101010	0.566597	0.635491	0	0	10	7
nk-7	H0107	0001101011	0.462604	0.441644	0	0	10	7
nk-7	H0108	0001101100	0.435918	0.391899	0	0	10	7
nk-7	H0109	0001101101	0.490651	0.493924	0	0	10	7
nk-7	H0110	0001101110	0.530639	0.568464	0	0	10	7
nk-7	H0111	0001101111	0.505951	0.522444	0	0	10	7
nk-7	H0112	0001110000	0.471961	0.459085	0	0	10	7
nk-7	H0113	0001110001	0.536522	0.579430	0	0	10	7
nk-7	H0114	0001110010	0.498448	0.508459	0	0	10	7
nk-7	H0115	0001110011	0.598078	0.694173	0	0	10	7
nk-7	H0116	0001110100	0.483062	0.479779	0	0	10	7
nk-7	H0117	0001110101	0.491701	0.495881	0	0	10	7
nk-7	H0118	0001110110	0.449822	0.417817	0	0	10	7
nk-7	H0119	0001110111	0.542863	0.591250	0	0	10	7
nk-7	H0120	0001111000	0.567383	0.636957	0	0	10	7
nk-7	H0121	0001111001	0.550660	0.605785	0	0	10	7
nk-7	H0122	0001111010	0.647674	0.786624	1	0	10	7
nk-7	H0123	0001111011	0.598908	0.695721	0	0	10	7
nk-7	H0124	0001111100	0.489698	0.492148	0	0	10	7
nk-7	H0125	0001111101	0.483279	0.480182	0	0	10	7
nk-7	H0126	0001111110	0.507962	0.526193	0	0	10	7
nk-7	H0127	0001111111	0.594920	0.688288	0	0	10	7
nk-7	H0128	0010000000	0.562281	0.627447	0	0	10	7
nk-7	H0129	0010000001	0.523714	0.555555	0	0	10	7
nk-7	H0130	0010000010	0.333679	0.201319	0	0	10	7
nk-7	H0131	0010000011	0.638011	0.768611	0	0	10	7
nk-7	H0132	0010000100	0.581818	0.663865	0	0	10	7
nk-7	H0133	0010000101	0.563876	0.630420	0	0	10	7
nk-7	H0134	0010000110	0.399648	0.324289	0	0	10	7
nk-7	H0135	0010000111	0.668515	0.825473	0	0	10	7
nk-7	H0136	0010001000	0.556955	0.617519	0	0	10	7
nk-7	H0137	0010001001	0.294503	0.128293	0	0	10	7
nk-7	H0138	0010001010	0.519653	0.547986	0	0	10	7
nk-7	H0139	0010001011	0.544106	0.593567	0	0	10	7
nk-7	H0140	0010001100	0.594489	0.687483	0	0	10	7
nk-7	H0141	0010001101	0.456344	0.429974	0	0	10	7
nk-7	H0142	0010001110	0.394348	0.314410	0	0	10	7
nk-7	H0143	0010001111	0.557661	0.618835	0	0	10	7
nk-7	H0144	0010010000	0.476184	0.466957	0	0	10	7
nk-7	H0145	0010010001	0.504462	0.519669	0	0	10	7
nk-7	H0146	0010010010	0.382464	0.292258	0	0	10	7
nk-7	H0147	0010010011	0.586203	0.672038	0	0	10	7
nk-7	H0148	0010010100	0.355004	0.241071	0	0	10	7
nk-7	H0149	0010010101	0.584077	0.668076	0	0	10	7
nk-7	H0150	0010010110	0.467411	0.450604	0	0	10	7
nk-7	H0151	0010010111	0.406912	0.337830	0	0	10	7
nk-7	H0152	0010011000	0.655467	0.801151	0	0	10	7
nk-7	H0153	0010011001	0.299946	0.138440	0	0	10	7
nk-7	H0154	0010011010	0.489912	0.492547	0	0	10	7
nk-7	H0155	0010011011	0.511461	0.532715	0	0	10	7
nk-7	H0156	0010011100	0.506823	0.524069	0	0	10	7
nk-7	H0157	0010011101	0.383604	0.294384	0	0	10	7
nk-7	H0158	0010011110	0.482745	0.479188	0	0	10	7
nk-7	H0159	0010011111	0.317562	0.171276	0	0	10	7
nk-7	H0160	0010100000	0.438447	0.396613	0	0	10	7
nk-7	H0161	0010100001	0.478806	0.471845	0	0	10	7
nk-7	H0162	0010100010	0.401564	0.327862	0	0	10	7
nk-7	H0163	0010100011	0.679379	0.845724	0	0	10	7
nk-7	H0164	0010100100	0.589065	0.677374	0	0	10	7
nk-7	H0165	0010100101	0.531678	0.570401	0	0	10	7
nk-7	H0166	0010100110	0.602212	0.701880	0	0	10	7
nk-7	H0167	0010100111	0.694840	0.874545	0	0	10	7
nk-7	H0168	0010101000	0.424939	0.371433	0	0	10	7
nk-7	H0169	0010101001	0.548122	0.601053	0	0	10	7
nk-7	H0170	0010101010	0.391008	0.308185	0	0	10	7
nk-7	H0171	0010101011	0.555119	0.614095	0	0	10	7
nk-7	H0172	0010101100	0.505824	0.522208	0	0	10	7
nk-7	H0173	0010101101	0.558368	0.620153	0	0	10	7
nk-7	H0174	0010101110	0.487760	0.488536	0	0	10	7
nk-7	H0175	0010101111	0.593686	0.685987	0	0	10	7
nk-7	H0176	0010110000	0.479804	0.473705	0	0	10	7
nk-7	H0177	0010110001	0.471372	0.457987	0	0	10	7
nk-7	H0178	0010110010	0.326562	0.188053	0	0	10	7
nk-7	H0179	0010110011	0.570134	0.642085	0	0	10	7
nk-7	H0180	0010110100	0.433046	0.386545	0	0	10	7
nk-7	H0181	0010110101	0.538326	0.582792	0	0	10	7
nk-7	H0182	0010110110	0.361491	0.253163	0	0	10	7
nk-7	H0183	0010110111	0.514024	0.537494	0	0	10	7
nk-7	H0184	0010111000	0.620036	0.735106	0	0	10	7
nk-7	H0185	0010111001	0.461137	0.438908	0	0	10	7
nk-7	H0186	0010111010	0.349382	0.230591	0	0	10	7
nk-7	H0187	0010111011	0.568758	0.639520	0	0	10	7
nk-7	H0188	0010111100	0.561803	0.626556	0	0	10	7
nk-7	H0189	0010111101	0.483251	0.480131	0	0	10	7
nk-7	H0190	0010111110	0.341470	0.215842	0	0	10	7
nk-7	H0191	0010111111	0.629117	0.752033	0	0	10	7
nk-7	H0192	0011000000	0.563348	0.629435	0	0	10	7
