tag	id	haplotype	fitness	fit_norm	local_peak	global_peak	N	K
test	H0000	0000000000	0.553842	1.745482	0	0	10	3
test	H0001	0000000001	0.531883	1.334705	0	0	10	3
test	H0002	0000000010	0.520245	1.160537	0	0	10	3
test	H0003	0000000011	0.498286	0.895322	0	0	10	3
test	H0004	0000000100	0.523085	1.200634	0	0	10	3
test	H0005	0000000101	0.620644	4.097838	0	0	10	3
test	H0006	0000000110	0.484926	0.766707	0	0	10	3
test	H0007	0000000111	0.582486	2.499267	0	0	10	3
test	H0008	0000001000	0.573642	2.234602	0	0	10	3
test	H0009	0000001001	0.527865	1.271569	0	0	10	3
test	H0010	0000001010	0.532388	1.342886	0	0	10	3
test	H0011	0000001011	0.486611	0.781762	0	0	10	3
test	H0012	0000001100	0.515962	1.102779	0	0	10	3
test	H0013	0000001101	0.589705	2.740381	0	0	10	3
test	H0014	0000001110	0.385939	0.258624	0	0	10	3
test	H0015	0000001111	0.459682	0.575163	0	0	10	3
test	H0016	0000010000	0.512787	1.061965	0	0	10	3
test	H0017	0000010001	0.490827	0.820858	0	0	10	3
test	H0018	0000010010	0.605896	3.377414	0	0	10	3
test	H0019	0000010011	0.583937	2.545821	0	0	10	3
test	H0020	0000010100	0.482029	0.741553	0	0	10	3
test	H0021	0000010101	0.579589	2.409025	0	0	10	3
test	H0022	0000010110	0.570577	2.150082	0	0	10	3
test	H0023	0000010111	0.668137	7.789873	0	0	10	3
test	H0024	0000011000	0.532586	1.346108	0	0	10	3
test	H0025	0000011001	0.486810	0.783554	0	0	10	3
test	H0026	0000011010	0.618039	3.959424	0	0	10	3
test	H0027	0000011011	0.572262	2.196118	0	0	10	3
test	H0028	0000011100	0.474907	0.683448	0	0	10	3
test	H0029	0000011101	0.548649	1.637292	0	0	10	3
test	H0030	0000011110	0.471590	0.658095	0	0	10	3
test	H0031	0000011111	0.545332	1.572002	0	0	10	3
test	H0032	0000100000	0.436188	0.443007	0	0	10	3
test	H0033	0000100001	0.414229	0.348992	0	0	10	3
test	H0034	0000100010	0.426720	0.399451	0	0	10	3
test	H0035	0000100011	0.404760	0.315387	0	0	10	3
test	H0036	0000100100	0.405430	0.317646	0	0	10	3
test	H0037	0000100101	0.502990	0.946041	0	0	10	3
test	H0038	0000100110	0.391401	0.273847	0	0	10	3
test	H0039	0000100111	0.488960	0.803288	0	0	10	3
test	H0040	0000101000	0.554168	1.752516	0	0	10	3
test	H0041	0000101001	0.508391	1.008148	0	0	10	3
test	H0042	0000101010	0.537043	1.420817	0	0	10	3
test	H0043	0000101011	0.491266	0.825045	0	0	10	3
test	H0044	0000101100	0.496488	0.876729	0	0	10	3
test	H0045	0000101101	0.570231	2.140740	0	0	10	3
test	H0046	0000101110	0.390594	0.271537	0	0	10	3
test	H0047	0000101111	0.464336	0.606139	0	0	10	3
test	H0048	0000110000	0.426944	0.400425	0	0	10	3
test	H0049	0000110001	0.404984	0.316140	0	0	10	3
test	H0050	0000110010	0.546969	1.603853	0	0	10	3
test	H0051	0000110011	0.525009	1.228663	0	0	10	3
test	H0052	0000110100	0.396186	0.287994	0	0	10	3
test	H0053	0000110101	0.493746	0.849159	0	0	10	3
test	H0054	0000110110	0.511650	1.047753	0	0	10	3
test	H0055	0000110111	0.609209	3.526477	0	0	10	3
test	H0056	0000111000	0.544923	1.564146	0	0	10	3
test	H0057	0000111001	0.499146	0.904376	0	0	10	3
test	H0058	0000111010	0.657292	6.708946	1	0	10	3
test	H0059	0000111011	0.611515	3.634381	0	0	10	3
test	H0060	0000111100	0.487244	0.787496	0	0	10	3
test	H0061	0000111101	0.560986	1.907126	0	0	10	3
test	H0062	0000111110	0.510843	1.037794	0	0	10	3
test	H0063	0000111111	0.584585	2.566935	0	0	10	3
test	H0064	0001000000	0.508656	1.011302	0	0	10	3
test	H0065	0001000001	0.486696	0.782527	0	0	10	3
test	H0066	0001000010	0.563099	1.957981	0	0	10	3
test	H0067	0001000011	0.541139	1.493464	0	0	10	3
test	H0068	0001000100	0.609735	3.550751	0	0	10	3
test	H0069	0001000101	0.707294	13.543210	1	0	10	3
test	H0070	0001000110	0.473349	0.671409	0	0	10	3
test	H0071	0001000111	0.570909	2.159054	0	0	10	3
test	H0072	0001001000	0.502738	0.943245	0	0	10	3
