tag	id	haplotype	fitness	fit_norm	local_peak	global_peak	N	K
test	H0000	0000000000	0.532295	0.528810	0	0	10	9
test	H0001	0000000001	0.551660	0.562230	0	0	10	9
test	H0002	0000000010	0.412721	0.322440	0	0	10	9
test	H0003	0000000011	0.389594	0.282527	0	0	10	9
test	H0004	0000000100	0.514607	0.498283	0	0	10	9
test	H0005	0000000101	0.583424	0.617051	0	0	10	9
test	H0006	0000000110	0.394821	0.291547	0	0	10	9
test	H0007	0000000111	0.475795	0.431298	0	0	10	9
test	H0008	0000001000	0.522634	0.512137	0	0	10	9
test	H0009	0000001001	0.467365	0.416749	0	0	10	9
test	H0010	0000001010	0.483162	0.444012	0	0	10	9
test	H0011	0000001011	0.604174	0.652863	0	0	10	9
test	H0012	0000001100	0.545630	0.551824	0	0	10	9
test	H0013	0000001101	0.504642	0.481083	0	0	10	9
test	H0014	0000001110	0.463095	0.409380	0	0	10	9
test	H0015	0000001111	0.586020	0.621532	0	0	10	9
test	H0016	0000010000	0.499167	0.471634	0	0	10	9
test	H0017	0000010001	0.588744	0.626233	0	0	10	9
test	H0018	0000010010	0.438409	0.366774	0	0	10	9
test	H0019	0000010011	0.462044	0.407565	0	0	10	9
test	H0020	0000010100	0.337951	0.193398	0	0	10	9
test	H0021	0000010101	0.592886	0.633382	0	0	10	9
test	H0022	0000010110	0.383229	0.271542	0	0	10	9
test	H0023	0000010111	0.562763	0.581393	0	0	10	9
test	H0024	0000011000	0.463632	0.410306	0	0	10	9
test	H0025	0000011001	0.456468	0.397943	0	0	10	9
test	H0026	0000011010	0.486399	0.449599	0	0	10	9
test	H0027	0000011011	0.465181	0.412980	0	0	10	9
test	H0028	0000011100	0.662314	0.753206	1	0	10	9
test	H0029	0000011101	0.465766	0.413989	0	0	10	9
test	H0030	0000011110	0.500430	0.473815	0	0	10	9
test	H0031	0000011111	0.610405	0.663617	0	0	10	9
test	H0032	0000100000	0.562173	0.580374	0	0	10	9
test	H0033	0000100001	0.574138	0.601026	0	0	10	9
test	H0034	0000100010	0.567648	0.589824	0	0	10	9
test	H0035	0000100011	0.471868	0.424521	0	0	10	9
test	H0036	0000100100	0.281856	0.096586	0	0	10	9
test	H0037	0000100101	0.610767	0.664241	0	0	10	9
test	H0038	0000100110	0.344674	0.205000	0	0	10	9
test	H0039	0000100111	0.481097	0.440449	0	0	10	9
test	H0040	0000101000	0.521993	0.511029	0	0	10	9
test	H0041	0000101001	0.622030	0.683680	0	0	10	9
test	H0042	0000101010	0.448284	0.383817	0	0	10	9
test	H0043	0000101011	0.444924	0.378018	0	0	10	9
test	H0044	0000101100	0.352399	0.218333	0	0	10	9
test	H0045	0000101101	0.394414	0.290845	0	0	10	9
test	H0046	0000101110	0.588364	0.625578	0	0	10	9
test	H0047	0000101111	0.449618	0.386120	0	0	10	9
test	H0048	0000110000	0.379518	0.265137	0	0	10	9
test	H0049	0000110001	0.508274	0.487353	0	0	10	9
test	H0050	0000110010	0.575936	0.604128	0	0	10	9
test	H0051	0000110011	0.628234	0.694387	0	0	10	9
test	H0052	0000110100	0.600140	0.645900	0	0	10	9
test	H0053	0000110101	0.510590	0.491349	0	0	10	9
test	H0054	0000110110	0.475779	0.431271	0	0	10	9
test	H0055	0000110111	0.557845	0.572906	0	0	10	9
test	H0056	0000111000	0.574187	0.601110	0	0	10	9
test	H0057	0000111001	0.635567	0.707042	1	0	10	9
test	H0058	0000111010	0.494850	0.464184	0	0	10	9
test	H0059	0000111011	0.338805	0.194872	0	0	10	9
test	H0060	0000111100	0.439025	0.367837	0	0	10	9
test	H0061	0000111101	0.547878	0.555704	0	0	10	9
test	H0062	0000111110	0.512308	0.494314	0	0	10	9
test	H0063	0000111111	0.604565	0.653538	0	0	10	9
test	H0064	0001000000	0.639351	0.713574	0	0	10	9
test	H0065	0001000001	0.465294	0.413176	0	0	10	9
test	H0066	0001000010	0.370369	0.249348	0	0	10	9
test	H0067	0001000011	0.502156	0.476793	0	0	10	9
test	H0068	0001000100	0.556736	0.570991	0	0	10	9
test	H0069	0001000101	0.689249	0.799690	1	0	10	9
test	H0070	0001000110	0.439581	0.368798	0	0	10	9
test	H0071	0001000111	0.427646	0.348200	0	0	10	9
test	H0072	0001001000	0.405193	0.309449	0	0	10	9
test	H0073	0001001001	0.492971	0.460941	0	0	10	9
test	H0074	0001001010	0.654839	0.740304	1	0	10	9
test	H0075	0001001011	0.604304	0.653088	0	0	10	9
test	H0076	0001001100	0.629720	0.696953	0	0	10	9
test	H0077	0001001101	0.420052	0.335093	0	0	10	9
test	H0078	0001001110	0.561186	0.578672	0	0	10	9
test	H0079	0001001111	0.536760	0.536516	0	0	10	9
test	H0080	0001010000	0.602902	0.650668	0	0	10	9
test	H0081	0001010001	0.546439	0.553220	0	0	10	9
test	H0082	0001010010	0.516459	0.501479	0	0	10	9
test	H0083	0001010011	0.495444	0.465209	0	0	10	9
test	H0084	0001010100	0.397197	0.295649	0	0	10	9
test	H0085	0001010101	0.633639	0.703715	0	0	10	9
test	H0086	0001010110	0.598544	0.643147	1	0	10	9
test	H0087	0001010111	0.415193	0.326708	0	0	10	9
test	H0088	0001011000	0.352104	0.217823	0	0	10	9
test	H0089	0001011001	0.527431	0.520414	0	0	10	9
test	H0090	0001011010	0.586148	0.621753	0	0	10	9
test	H0091	0001011011	0.292485	0.114929	0	0	10	9
test	H0092	0001011100	0.225893	0.000000	0	0	10	9
