ranked_id	hap	fit	model	N_max	r/s
H000	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.961070000000015	cov-e484k	103	3.230474064392301e-15
H001	100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.841965263157896	cov-e484k	103	3.230474064392301e-15
H002	010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.976168947368421	cov-e484k	103	3.230474064392301e-15
H003	001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.932327333333335	cov-e484k	103	3.230474064392301e-15
H004	000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.815131333333333	cov-e484k	103	3.230474064392301e-15
H005	000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.929769411764706	cov-e484k	103	3.230474064392301e-15
H006	000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7.863187222222223	cov-e484k	103	3.230474064392301e-15
H007	000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.717315555555555	cov-e484k	103	3.230474064392301e-15
H008	000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7.554333684210526	cov-e484k	103	3.230474064392301e-15
H009	000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.812601666666666	cov-e484k	103	3.230474064392301e-15
H010	000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.543352631578948	cov-e484k	103	3.230474064392301e-15
H011	000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7.64203875	cov-e484k	103	3.230474064392301e-15
H012	000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7.101606842105263	cov-e484k	103	3.230474064392301e-15
H013	000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.213667894736842	cov-e484k	103	3.230474064392301e-15
H014	000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.276769473684212	cov-e484k	103	3.230474064392301e-15
H015	000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.487025000000001	cov-e484k	103	3.230474064392301e-15
H016	000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.859973333333334	cov-e484k	103	3.230474064392301e-15
H017	000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7.1186963157894745	cov-e484k	103	3.230474064392301e-15
H018	000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.552072105263159	cov-e484k	103	3.230474064392301e-15
H019	000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7.267492105263157	cov-e484k	103	3.230474064392301e-15
H020	000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6.604175000000001	cov-e484k	103	3.230474064392301e-15
H021	000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7.394592631578947	cov-e484k	103	3.230474064392301e-15
H022	000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.453772105263157	cov-e484k	103	3.230474064392301e-15
H023	000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6.88910894736842	cov-e484k	103	3.230474064392301e-15
H024	000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.635014210526316	cov-e484k	103	3.230474064392301e-15
H025	000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	6.520036842105263	cov-e484k	103	3.230474064392301e-15
H026	000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.352112105263158	cov-e484k	103	3.230474064392301e-15
H027	000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	8.762593684210527	cov-e484k	103	3.230474064392301e-15
H028	000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	7.694454736842105	cov-e484k	103	3.230474064392301e-15
