ranked_id	hap	fit	model	N_max	r/s
H000	0100	1.0	nk	2	1.1000076110851476
H001	0110	0.935980365246103	nk	2	1.1000076110851476
H002	0010	0.9280264708193289	nk	2	1.1000076110851476
H003	0000	0.7675846272820299	nk	2	1.1000076110851476
H004	0101	0.7153636997011478	nk	2	1.1000076110851476
H005	0111	0.6513440649472507	nk	2	1.1000076110851476
H006	1010	0.6137841321244767	nk	2	1.1000076110851476
H007	1100	0.5540037196748708	nk	2	1.1000076110851476
H008	1110	0.48998408492097356	nk	2	1.1000076110851476
H009	0011	0.47468418223215125	nk	2	1.1000076110851476
H010	1000	0.4533422885871776	nk	2	1.1000076110851476
H011	0001	0.31424233869485213	nk	2	1.1000076110851476
H012	1101	0.26936741937601866	nk	2	1.1000076110851476
H013	1111	0.20534778462212133	nk	2	1.1000076110851476
H014	1011	0.160441843537299	nk	2	1.1000076110851476
H015	1001	0.0	nk	2	1.1000076110851476
