tag	id	haplotype	fitness	fit_norm	local_peak	global_peak	N	K
nk-4	H0000	0000000000	0.408674	0.343644	0	0	10	4
nk-4	H0001	0000000001	0.520788	0.567782	0	0	10	4
nk-4	H0002	0000000010	0.424849	0.375981	0	0	10	4
nk-4	H0003	0000000011	0.536963	0.600120	0	0	10	4
nk-4	H0004	0000000100	0.444835	0.415936	0	0	10	4
nk-4	H0005	0000000101	0.556949	0.640075	0	0	10	4
nk-4	H0006	0000000110	0.349557	0.225458	0	0	10	4
nk-4	H0007	0000000111	0.461672	0.449597	0	0	10	4
nk-4	H0008	0000001000	0.371916	0.270157	0	0	10	4
nk-4	H0009	0000001001	0.396364	0.319033	0	0	10	4
nk-4	H0010	0000001010	0.417790	0.361868	0	0	10	4
nk-4	H0011	0000001011	0.442238	0.410745	0	0	10	4
nk-4	H0012	0000001100	0.363522	0.253377	0	0	10	4
nk-4	H0013	0000001101	0.387970	0.302253	0	0	10	4
nk-4	H0014	0000001110	0.297943	0.122272	0	0	10	4
nk-4	H0015	0000001111	0.322391	0.171148	0	0	10	4
nk-4	H0016	0000010000	0.535296	0.596786	0	0	10	4
nk-4	H0017	0000010001	0.607707	0.741549	0	0	10	4
nk-4	H0018	0000010010	0.430079	0.386437	0	0	10	4
nk-4	H0019	0000010011	0.502490	0.531201	0	0	10	4
nk-4	H0020	0000010100	0.542420	0.611029	0	0	10	4
nk-4	H0021	0000010101	0.614831	0.755792	0	0	10	4
nk-4	H0022	0000010110	0.317045	0.160461	0	0	10	4
nk-4	H0023	0000010111	0.389456	0.305224	0	0	10	4
nk-4	H0024	0000011000	0.619256	0.764638	0	0	10	4
nk-4	H0025	0000011001	0.608989	0.744113	0	0	10	4
nk-4	H0026	0000011010	0.473001	0.472247	0	0	10	4
nk-4	H0027	0000011011	0.462734	0.451721	0	0	10	4
nk-4	H0028	0000011100	0.581825	0.689808	0	0	10	4
nk-4	H0029	0000011101	0.571558	0.669282	0	0	10	4
nk-4	H0030	0000011110	0.315413	0.157196	0	0	10	4
nk-4	H0031	0000011111	0.305146	0.136671	0	0	10	4
nk-4	H0032	0000100000	0.557662	0.641501	0	0	10	4
nk-4	H0033	0000100001	0.483505	0.493245	0	0	10	4
nk-4	H0034	0000100010	0.573600	0.673363	0	0	10	4
nk-4	H0035	0000100011	0.499442	0.525107	0	0	10	4
nk-4	H0036	0000100100	0.559368	0.644912	0	0	10	4
nk-4	H0037	0000100101	0.485211	0.496656	0	0	10	4
nk-4	H0038	0000100110	0.552527	0.631234	0	0	10	4
nk-4	H0039	0000100111	0.478369	0.482978	0	0	10	4
nk-4	H0040	0000101000	0.543986	0.614160	0	0	10	4
nk-4	H0041	0000101001	0.437482	0.401237	0	0	10	4
nk-4	H0042	0000101010	0.578508	0.683176	0	0	10	4
nk-4	H0043	0000101011	0.472004	0.470253	0	0	10	4
nk-4	H0044	0000101100	0.524545	0.575293	0	0	10	4
nk-4	H0045	0000101101	0.418041	0.362370	0	0	10	4
nk-4	H0046	0000101110	0.536288	0.598770	0	0	10	4
nk-4	H0047	0000101111	0.429784	0.385847	0	0	10	4
nk-4	H0048	0000110000	0.595299	0.716743	0	0	10	4
nk-4	H0049	0000110001	0.607822	0.741779	0	0	10	4
nk-4	H0050	0000110010	0.531799	0.589795	0	0	10	4
nk-4	H0051	0000110011	0.544322	0.614831	0	0	10	4
nk-4	H0052	0000110100	0.567968	0.662104	0	0	10	4
nk-4	H0053	0000110101	0.580491	0.687140	0	0	10	4
nk-4	H0054	0000110110	0.472984	0.472212	0	0	10	4
nk-4	H0055	0000110111	0.485507	0.497248	0	0	10	4
nk-4	H0056	0000111000	0.631482	0.789080	0	0	10	4
nk-4	H0057	0000111001	0.664993	0.856075	0	0	10	4
nk-4	H0058	0000111010	0.593960	0.714067	0	0	10	4
nk-4	H0059	0000111011	0.627472	0.781063	0	0	10	4
nk-4	H0060	0000111100	0.583004	0.692163	0	0	10	4
nk-4	H0061	0000111101	0.616515	0.759159	0	0	10	4
nk-4	H0062	0000111110	0.513998	0.554207	0	0	10	4
nk-4	H0063	0000111111	0.547509	0.621203	0	0	10	4
nk-4	H0064	0001000000	0.479224	0.484687	0	0	10	4
nk-4	H0065	0001000001	0.542317	0.610823	0	0	10	4
nk-4	H0066	0001000010	0.471919	0.470083	0	0	10	4
nk-4	H0067	0001000011	0.535013	0.596220	0	0	10	4
nk-4	H0068	0001000100	0.619517	0.765160	0	0	10	4
nk-4	H0069	0001000101	0.682610	0.891296	1	0	10	4
nk-4	H0070	0001000110	0.500759	0.527740	0	0	10	4
nk-4	H0071	0001000111	0.563853	0.653877	0	0	10	4
nk-4	H0072	0001001000	0.398232	0.322769	0	0	10	4
nk-4	H0073	0001001001	0.345271	0.216889	0	0	10	4
nk-4	H0074	0001001010	0.420626	0.367539	0	0	10	4
nk-4	H0075	0001001011	0.367665	0.261659	0	0	10	4
nk-4	H0076	0001001100	0.588871	0.703893	0	0	10	4
nk-4	H0077	0001001101	0.535910	0.598013	0	0	10	4
nk-4	H0078	0001001110	0.499812	0.525848	0	0	10	4
nk-4	H0079	0001001111	0.446851	0.419967	0	0	10	4
nk-4	H0080	0001010000	0.491991	0.510212	0	0	10	4
nk-4	H0081	0001010001	0.490962	0.508155	0	0	10	4
nk-4	H0082	0001010010	0.498177	0.522579	0	0	10	4
nk-4	H0083	0001010011	0.497148	0.520521	0	0	10	4
nk-4	H0084	0001010100	0.620545	0.767216	0	0	10	4
nk-4	H0085	0001010101	0.619516	0.765159	0	0	10	4
nk-4	H0086	0001010110	0.506573	0.539363	0	0	10	4
nk-4	H0087	0001010111	0.505544	0.537306	0	0	10	4
nk-4	H0088	0001011000	0.531718	0.589633	0	0	10	4
nk-4	H0089	0001011001	0.419622	0.365532	0	0	10	4
nk-4	H0090	0001011010	0.496866	0.519957	0	0	10	4
